"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 02 05:29:12 UTC 2025","Thu Oct 02 05:29:12 UTC 2025","9","src.tests","test_book_flights","","","","test_home_page_title",""
"broken","Thu Oct 02 05:29:50 UTC 2025","Thu Oct 02 05:30:20 UTC 2025","30040","src.tests","test_book_flights","","","","test_search_flights[2-0-0-0]",""
